"student","Name","java.lang.String","false","null","null","A","zzzzzzzzz"
"aa5921966482","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5921966482","id","java.lang.Integer","true","null","null","0","10000"
"aa5538457638","age","java.lang.Integer","false","null","null","1","100"
"aa5538457638","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5538457638","id","java.lang.Integer","true","null","null","0","10000"
"aa1518455952","age","java.lang.Integer","false","null","null","1","100"
"aa1518455952","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1518455952","id","java.lang.Integer","true","null","null","0","10000"
"aa519368162","age","java.lang.Integer","false","null","null","1","100"
"aa519368162","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa519368162","id","java.lang.Integer","true","null","null","0","10000"
"aa7361660405","age","java.lang.Integer","false","null","null","1","100"
"aa7361660405","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7361660405","id","java.lang.Integer","true","null","null","0","10000"
"aa7170297871","age","java.lang.Integer","false","null","null","1","100"
"aa7170297871","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7170297871","id","java.lang.Integer","true","null","null","0","10000"
"aa6497988633","age","java.lang.Integer","false","null","null","1","100"
"aa6497988633","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6497988633","id","java.lang.Integer","true","null","null","0","10000"
"aa8759553923","age","java.lang.Integer","false","null","null","1","100"
"aa8759553923","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa8759553923","id","java.lang.Integer","true","null","null","0","10000"
